SIM_COMPANY,VALIDITY,DATA_PER_DAY,ADDITIONAL_DATA,SMS_PER_DAY,ADDITIONAL_SMS,DISNEY_HOTSTAR,COST_PER_DAY,Pred_Offer_Price
AIRTEL,30,0.0,25.0,100,0,0,10.9,296.75
AIRTEL,31,0.0,2.0,0,300,0,6.29,172.25
VI,70,1.5,0.0,100,0,0,8.56,591.5
VI,28,0.0,4.0,100,0,0,9.52,219.75
AIRTEL,84,0.0,6.0,0,900,0,5.42,586.5
AIRTEL,28,1.0,0.0,100,0,0,9.61,247.75
AIRTEL,180,1.5,24.0,100,0,0,8.05,470.25
VI,18,0.0,0.2,0,0,0,11.17,201.5
AIRTEL,56,3.0,0.0,100,0,0,12.48,717.75
VI,15,0.0,0.2,0,0,0,7.27,150.125
VI,28,0.0,4.0,100,300,0,11.46,220.25
AIRTEL,84,2.0,0.0,100,0,0,9.99,780.25
VI,24,2.0,0.2,0,0,12,7.56,651.375
VI,24,0.0,1.0,0,300,0,10.46,173.75
AIRTEL,30,0.0,25.0,100,0,0,9.87,301.75
AIRTEL,28,0.0,2.0,0,300,0,6.39,172.25
AIRTEL,56,1.5,0.0,100,0,0,8.55,491.625
AIRTEL,28,3.0,0.0,100,0,12,21.46,498.5
VI,18,0.0,0.2,0,0,0,7.17,131.5
